"zpid","price","address","bedrooms","bathrooms","sqft","price_per_sqft","property_type","status","latitude","longitude","state","region","hoa","mls_number","parking_garage","description","days_on_market","year_built","acreage","front_photo","image_path","link","scraped_at"
"122396238","$785,000","136 Oak Quarters Ln, Starkville, MS 39759","3","3","2,419",324.51,"Single Family","For Sale",33.37915,-88.757774,"MS","Starkville",NA,"25-1399","Carport","Oktoc! 19.5 acres fenced for horse lovers featuring ranch-style home, open floor plan, 3BR/2.5BA. Walk in shower. Office. Lge windows providing gorgeous views of a shared 20 acre stocked lake with private pier. Front and back covered porches. The well equipped barn offers 2 paddock stalls & 1 BR apt. perfect for guests, rental income or live in caretaker. An additional storage building is on site, tucked away out of view. The acreage offers gently rolling terrain creating a private and tranquil ",NA,"2005","200519.5","","property_images/122396238_img1.jpg","https://www.zillow.com/homedetails/136-Oak-Quarters-Ln-Starkville-MS-39759/122396238_zpid/",2025-11-21 11:06:17.091782
"122397048","$195,000","202 Tomlinson Dr APT 5C, Starkville, MS 39759","2","3","1,056",184.66,"Condo","For Sale",33.46022,-88.84947,"MS","Starkville",NA,"25-828","Carport","Move right in! This well-maintained, 2 BR / 2.5 Bath condo (with POOL!) is ready for you. Could be perfect for a game day home, young professional abode, 2nd dwelling, family home, retirement spot, and more! Complete with a grilling patio, stainless steel appliances, private balcony and ample parking. Close to all things good about Starkville! Easy, fast access to Hwy 82, 25 and 182.",NA,"1999",NA,"","property_images/122397048_img1.jpg","https://www.zillow.com/homedetails/202-Tomlinson-Dr-APT-5C-Starkville-MS-39759/122397048_zpid/",2025-11-21 11:06:17.091782
"452062101","$598,000","187 Madison Dr, Starkville, MS 39759","4","3","2,413",247.82,"Single Family","For Sale",33.357265,-88.74538,"MS","Starkville",NA,"25-998","Carport","UNDER CONSTRUCTION!! 4 BED 3 BATH home with Bonus Room in Ironwood Subdivision! First floor layout is a split plan with Primary Suite and separate Guest Suite. Second floor offers 2 Bedrooms with a Jack and Jill bath and large Bonus Room. Kitchen features a large island, farmhouse sink, gas range, tile backsplash, pot filler, stainless steel appliances and range hood. Primary Suite offers double vanity, custom tile shower, freestanding tub, and walk-in closet. The floor plan layout offers Custom",NA,"2025","20251.5","","property_images/452062101_img1.jpg","https://www.zillow.com/homedetails/187-Madison-Dr-Starkville-MS-39759/452062101_zpid/",2025-11-21 11:06:17.091782
"446747533","$748,000","319 Ryan Ave, Starkville, MS 39759","4","4","2,790",268.1,"Single Family","For Sale",33.418297,-88.812386,"MS","Starkville","200","4102407","Carport","Welcome home to Adelaide in Starkville. This neighborhood filled with sidewalks, boulevards, its own post office and pool is the ideal charming neighborhood. 319 Ryan Ave is a two story home that celebrates front porch living....perfect for rocking chairs and waving at neighbors. Inside, an open floor plan, tall ceilings , a half bath of the living room, and a ventless fireplace. Chef's kitchen with quartz counter tops and all stainless steel appliances plus a walk in pantry. The spacious primar",NA,"2025",NA,"","property_images/446747533_img1.jpg","https://www.zillow.com/homedetails/319-Ryan-Ave-Starkville-MS-39759/446747533_zpid/",2025-11-21 11:06:17.091782
"251335702","$845,000","86 Adelaide Blvd, Starkville, MS 39759","3","4","3,059",276.23,"Single Family","For Sale",33.418125,-88.81184,"MS","Starkville",NA,"25-1051","Carport","Beautiful single owner home in lovely Adelaide. Check out this well maintained 3BR/3.5BA home with a bonus room, office area and fenced-in back patio. The primary suite is large and open with an amazing bath area and large walk-in closet. Upstairs, there are two suites with their own bath, along with a bonus room. This gorgeous home offers all the luxuries Adelaide has to give.",NA,"2018",NA,"","property_images/251335702_img1.jpg","https://www.zillow.com/homedetails/86-Adelaide-Blvd-Starkville-MS-39759/251335702_zpid/",2025-11-21 11:06:17.091782
"451088441","$505,000","28 McLaurin Dr, Starkville, MS 39759","3","2","1,939",260.44,"Single Family","For Sale",33.425648,-88.76316,"MS","Starkville",NA,"25-1981","Carport","Better than new! This 3 bedroom, 2 bath home is located in the desirable gated lake community of Wild Briar. Designed with an open layout and top-quality finishes, the home features beautiful hardwood floors, custom tile work, and custom cabinetry throughout. A private office provides the perfect space for working from home or managing tasks. The thoughtfully designed kitchen and living areas make entertaining easy, while the bedrooms offer comfort and privacy. Relax on the back porch and enjoy ",NA,"2022",NA,"","property_images/451088441_img1.jpg","https://www.zillow.com/homedetails/28-McLaurin-Dr-Starkville-MS-39759/451088441_zpid/",2025-11-21 11:06:17.091782
"2056417778","$549,000","0 Bass Cv, Starkville, MS 39759","3","2","2,200",249.55,"Single Family","For Sale",33.350246,-88.74348,"MS","Starkville",NA,"25-2052","Carport","Welcome to Browning Creek Subdivision! This new-construction 3BR/2BA waterfront home combines elegance and comfort in a serene setting just minutes from Mississippi State. Step inside to a grand living room with soaring 30-foot ceilings and large windows framing peaceful water views. A beautiful multi-level deck leads down to the water, creating the perfect spot for morning coffee while listening to the fountain or enjoying MSU game days with friends. The open layout is filled with natural light",NA,"2025","20250.39","","property_images/2056417778_img1.jpg","https://www.zillow.com/homedetails/0-Bass-Cv-Starkville-MS-39759/2056417778_zpid/",2025-11-21 11:06:17.091782
"457893147","$415,000","75 Madeline Dr, Starkville, MS 39759","2","3","1,517",273.57,"Single Family","For Sale",33.44052,-88.81386,"MS","Starkville",NA,"25-2249","Carport","This charming white cottage combines timeless charm with modern comfort. The crisp white exterior exudes classic cottage appeal with welcoming front porch. There is a back porch perfect for morning coffee and evening relaxation. The open concept floor plan is bright and airy. 2 Bedrooms, 2 glorious baths, plus office and half bath. Whether looking for weekend getaway or full-time, this cottage offers the perfect blend of comfort, style and character.",NA,"2025",NA,"","property_images/457893147_img1.jpg","https://www.zillow.com/homedetails/75-Madeline-Dr-Starkville-MS-39759/457893147_zpid/",2025-11-21 11:06:17.091782
"2057728827","$399,900","403 Russell St #206, Starkville, MS 39759","1","1","700",571.29,"Condo","For Sale",33.459045,-88.80598,"MS","Starkville",NA,"25-1914","Carport","Welcome home to the Summit: Experience NO Reservations & NO checkout times in new construction located within walking distance to the stadium, dining & shopping. Features include 10' ceilings, 8' doors, open layouts, quartz countertops, private balconies, secure access & smart features and private off street parking. Association Dues, Restrictive Covenants, Rules & Regulations apply. Furnished Pictures are of model, not the actual unit.",NA,"2024",NA,"","property_images/2057728827_img1.jpg","https://www.zillow.com/homedetails/403-Russell-St-206-Starkville-MS-39759/2057728827_zpid/",2025-11-21 11:08:11.092996
"2057728670","$399,900","403 Russell St #306, Starkville, MS 39759","1","1","700",571.29,"Condo","For Sale",33.459045,-88.80598,"MS","Starkville",NA,"25-1917","Carport","Welcome home to the Summit: Experience NO Reservations & NO checkout times in new construction located within walking distance to the stadium, dining & shopping. Features include 10' ceilings, 8' doors, open layouts, quartz countertops, private balconies, secure access & smart features and private off street parking. Association Dues, Restrictive Covenants, Rules & Regulations apply. Furnished Pictures are of model, not the actual unit.",NA,"2024",NA,"","property_images/2057728670_img1.jpg","https://www.zillow.com/homedetails/403-Russell-St-306-Starkville-MS-39759/2057728670_zpid/",2025-11-21 11:08:11.092996
"2057728933","$399,900","403 Russell St #203, Starkville, MS 39759","1","1","700",571.29,"Condo","For Sale",33.459045,-88.80598,"MS","Starkville",NA,"25-1912","Carport","Welcome home to the Summit: Experience NO Reservations & NO checkout times in new construction located within walking distance to the stadium, dining & shopping. Features include 10' ceilings, 8' doors, open layouts, quartz countertops, private balconies, secure access & smart features and private off street parking. Association Dues, Restrictive Covenants, Rules & Regulations apply. Furnished Pictures are of model, not the actual unit.",NA,"2024",NA,"","property_images/2057728933_img1.jpg","https://www.zillow.com/homedetails/403-Russell-St-203-Starkville-MS-39759/2057728933_zpid/",2025-11-21 11:08:11.092996
"2075126024","$139,900","12 Highway W, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.42456,-88.885345,"MS","Starkville",NA,"25-263","Carport","Only minutes from Starkville, this property is well suited for new development, agricultural/small farm operation or the place you build your castle. This parcel offers many options, subdivided into estate lots or smaller single home lots. Potential commercial use property with an abundance of road frontage and room to expand. Seller is a licensed Mississippi real estate agent.",NA,NA,"13","","property_images/2075126024_img1.jpg","https://www.zillow.com/homedetails/12-Highway-W-Starkville-MS-39759/2075126024_zpid/",2025-11-21 11:08:11.092996
"122389579","$612,000","300 Scales St, Starkville, MS 39759","4","3","2,374",257.79,"Single Family","For Sale",33.45832,-88.8224,"MS","Starkville",NA,"25-1978","Carport","Fabulous new construction located in the heart of Starkville. This custom designed 4 bedroom property has all the ''bells and whistles!'' Luxury primary suite is located on first floor along with a potential additional guest suite or study. Hardwood floors in living areas and tile baths make maintenance easy. High end kitchen package with solid surface counter tops. Front and back porches will allow many hours of enjoyment. This property allows the perfect blend of privacy and convenience! Compl",NA,"2025",NA,"","property_images/122389579_img1.jpg","https://www.zillow.com/homedetails/300-Scales-St-Starkville-MS-39759/122389579_zpid/",2025-11-21 11:08:11.092996
"456570748","$200,000","0 Pheba College St, Pheba, MS 39755",NA,NA,NA,NA,NA,"For Sale",33.635,-88.9398,"MS","Pheba",NA,"25-1849","Carport","68± acres in Pheba, Clay County, MS offering excellent hunting, timber, and home site potential. The property is entirely wooded with a mix of pine and hardwood and features Johnson Creek frontage, providing water and natural travel corridors for wildlife. Trophy deer, turkey, and small game are abundant, and the land is mostly flat with significant portions in the floodplain, yet with ample high ground for a home, cabin, or camp. The tract is split by Pheba-Beasley Road with ~7 acres west and ~",NA,NA,"68","","property_images/456570748_img1.jpg","https://www.zillow.com/homedetails/0-Pheba-College-St-Pheba-MS-39755/456570748_zpid/",2025-11-21 11:08:11.092996
"456275919","$219,000","Old West Point Rd, Starkville, MS 39759",NA,NA,"6,098",35.91,NA,"For Sale",33.46531,-88.8081,"MS","Starkville",NA,"25-2324","Carport","Prime location just minutes from downtown Starkville, the Cotton District, Mississippi State University and the Hwy 12/182 interchange. Zone T-5C corridor form-based district, this property offers a wealth of development opportunities!",NA,NA,NA,"","property_images/456275919_img1.jpg","https://www.zillow.com/homedetails/Old-West-Point-Rd-Starkville-MS-39759/456275919_zpid/",2025-11-21 11:08:11.092996
"456569331","$672,000","60 Sweetwater Ln, Starkville, MS 39759","4","5","2,612",257.27,"Single Family","For Sale",33.444183,-88.81101,"MS","Starkville",NA,"25-1848","Carport","Welcome to Oakvale where Location, Lifestyle, and Luxury Converge. The Hinckley floor plan on Lot 54 is a stunning four-bedroom, 4.5-bathroom home designed for both comfort and sophistication. Inside you will discover an open-concept layout ideal for entertaining and high-end finishes such as, Quartz Countertops, KitchenAid appliances, and ample Cabinetry in the Kitchen. An outdoor living area, perfect for relaxation or hosting guests. Oakvale is known for its quality craftsmanship and modern ar",NA,"2026",NA,"","property_images/456569331_img1.jpg","https://www.zillow.com/homedetails/60-Sweetwater-Ln-Starkville-MS-39759/456569331_zpid/",2025-11-21 11:08:11.092996
"2057728468","$975,000","403 Russell St #402, Starkville, MS 39759","3","3","1,650",590.91,"Condo","For Sale",33.459045,-88.80598,"MS","Starkville",NA,"25-1919","Carport","Welcome home to the Summit: Experience NO Reservations & NO checkout times in new construction located within walking distance to the stadium, dining & shopping. Features include 10' ceilings, 8' doors, open layouts, quartz countertops, private balconies, secure access & smart features and private off street parking. Association Dues, Restrictive Covenants, Rules & Regulations apply. Furnished Pictures are of model, not the actual unit. Limited Availability",NA,"2024",NA,"","property_images/2057728468_img1.jpg","https://www.zillow.com/homedetails/403-Russell-St-402-Starkville-MS-39759/2057728468_zpid/",2025-11-21 11:08:11.092996
"2066962996","$1,585,000","Louisville Lynn Lane Academy, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.44267,-88.82074,"MS","Starkville",NA,"16-176","Carport","Outstanding prime commercial location best describes this 7.76 acre +/- tract. A portion of the tract is included in the regulated floodway of an adjacent creek and is unusable as such. However, this is recognized in the price. This excellent development property has frontage on 3 major roads - Louisville Road, Lynn Lane, and Academy Rd. High traffic and visibility from every vantage point. Great ingress and egress opportunities for your new development. This property is positioned near both hig",NA,NA,"7.76","","property_images/2066962996_img1.jpg","https://www.zillow.com/homedetails/Louisville-Lynn-Lane-Academy-Starkville-MS-39759/2066962996_zpid/",2025-11-21 11:10:18.103964
