"zpid","price","address","bedrooms","bathrooms","sqft","price_per_sqft","property_type","status","latitude","longitude","state","region","hoa","mls_number","parking_garage","description","days_on_market","year_built","acreage","front_photo","image_path","link","scraped_at"
"456349388","$2,999,999","211 County Road 107, Oxford, MS 38655",NA,NA,NA,NA,NA,"For Sale",34.419964,-89.62624,"MS","Oxford",NA,"161549","Carport","Back to searchSaveShareHideMoreLot/land See all 14 photosPrice cut: $500K (9/26)$2,999,999211 County Road 107, Oxford, MS 38655--beds--baths211AcresAcreageBuilt in ----211 Acres Lot$-- Zestimate®$--/sqft$-- HOAWhat's special79 dayson Zillow|128views|3saves|LoadingContact agentLoading",NA,NA,"211","","property_images/456349388_img1.jpg","https://www.zillow.com/homedetails/211-County-Road-107-Oxford-MS-38655/456349388_zpid/",2025-11-21 08:29:13.380082
"457972898","$399,500","1007 Mistilis Cv UNIT 103, Oxford, MS 38655","2","2","1,000",399.5,"Townhouse","For Sale",34.38242,-89.54497,"MS","Oxford",NA,"162059","Carport","Main floor at The Concourse - NO STAIRS! Completion Dec 2025. New Investment opportunity at the most unique location! Only a few residential units remain. The Concourse was named for its views of the Oxford airport. Watch the planes come in while you are in town to watch the Rebs! Tucked away into a dead end street and close to campus - no rental restrictions so this is the perfect spot for weekenders, college students, or those looking to make rental income!",NA,"2025",NA,"","property_images/457972898_img1.jpg","https://www.zillow.com/homedetails/1007-Mistilis-Cv-UNIT-103-Oxford-MS-38655/457972898_zpid/",2025-11-21 08:29:13.380082
"450108469","$934,000","1009 Belle Terre Ln, Oxford, MS 38655","5","5","3,736",250,"Single Family","For Sale",34.402992,-89.41629,"MS","Oxford",NA,"161552","3","*NEW CONSTRUCTION* Introducing The Lynn at Belle Terre, where luxury meets custom craftsmanship. Designed by Shapiro & Co Architects, this 5 bed, 4.5 bath home offers generous space for family living and effortless entertaining. High-end finishes blend Southern charm with modern elegance in a serene countryside setting. Located in the Oxford School District, Belle Terre is a new community of 53 estate-sized lots and timeless design just minutes from Oxford's vibrant amenities. Secure now to sele",NA,"2025","20251","","property_images/450108469_img1.jpg","https://www.zillow.com/homedetails/1009-Belle-Terre-Ln-Oxford-MS-38655/450108469_zpid/",2025-11-21 08:29:13.380082
"456314669","$465,000","3809-11 Old Sardis Rd, Oxford, MS 38655","3","3","1,608",289.18,"Townhouse","For Sale",34.3984,-89.57422,"MS","Oxford",NA,"161525","Carport","\"VINEWOOD\" Welcome to Oxford's newest address for comfort and convenience! These brand-new 3 bedroom,3 bath condominiums are beautifully designed and located in the heart of it all-just minutes from the Ole-Miss Campus, M-Trade Park, and historic downtown Oxford. Enjoy the perfect blend of style and functinality with spacious open layout ideal for entertaining. All have front porches and private patios that create inviting spaces for morning coffee or evening relaxation.Three full baths offer pr",NA,"2025",NA,"","property_images/456314669_img1.jpg","https://www.zillow.com/homedetails/3809-11-Old-Sardis-Rd-Oxford-MS-38655/456314669_zpid/",2025-11-21 08:31:38.071338
"456312242","$465,000","3809-7 Old Sardis Rd, Oxford, MS 38655","3","3","1,608",289.18,"Townhouse","For Sale",34.398457,-89.57435,"MS","Oxford",NA,"161516","Carport","\"VINEWOOD\" Welcome to Oxford's newest address for comfort and convenience! These brand-new 3 bedroom,3 bath condominiums are thoughtfully designed and located in the heart of it all-just minutes from the Ole-Miss Campus, M-Trade Park, and historic downtown Oxford. Enjoy the perfect blend of style and functinality with spacious open layout ideal for entertaining. All have front porches and private patios that create inviting spaces for morning coffee or evening relaxation.Three full baths offer p",NA,"2025",NA,"","property_images/456312242_img1.jpg","https://www.zillow.com/homedetails/3809-7-Old-Sardis-Rd-Oxford-MS-38655/456312242_zpid/",2025-11-21 08:31:38.071338
"456312064","$465,000","3809-5 Old Sardis Rd, Oxford, MS 38655","3","3","1,608",289.18,"Townhouse","For Sale",34.39821,-89.57408,"MS","Oxford",NA,"161513","Carport","\"VINEWOOD\" Welcome to Oxford's newest address for comfort and convenience! These brand-new 3 bedroom,3 bath condominiums are beautifully designed and located in the heart of it all-just minutes from the Ole-Miss Campus, M-Trade Park, and historic downtown Oxford. Enjoy the perfect blend of style and functinality with spacious open layout ideal for entertaining. All have front porches and private patios that create inviting spaces for morning coffee or evening relaxation.Three full baths offer pr",NA,"2025",NA,"","property_images/456312064_img1.jpg","https://www.zillow.com/homedetails/3809-5-Old-Sardis-Rd-Oxford-MS-38655/456312064_zpid/",2025-11-21 08:31:38.071338
"456311651","$465,000","3809-2 Old Sardis Rd, Oxford, MS 38655","3","3","1,608",289.18,"Townhouse","For Sale",34.398605,-89.57461,"MS","Oxford",NA,"161510","Carport","\"VINEWOOD\" Welcome to Oxford's newest address for comfort and convenience! These brand-new 3 bedroom,3 bath condominiums are beautifully designed and located in the heart of it all-just minutes from the Ole-Miss Campus, M-Trade Park, and historic downtown Oxford. Enjoy the perfect blend of style and functinality with spacious open layout ideal for entertaining. All have front porches and private patios that create inviting spaces for morning coffee or evening relaxation.Three full baths offer pr",NA,"2025",NA,"","property_images/456311651_img1.jpg","https://www.zillow.com/homedetails/3809-2-Old-Sardis-Rd-Oxford-MS-38655/456311651_zpid/",2025-11-21 08:31:38.071338
"455424098","$250,429","1 County Road 433, Thaxton, MS 38871",NA,NA,NA,NA,NA,"For Sale",34.27691,-89.24632,"MS","Thaxton",NA,"4120710","Carport","&#127806; 79.5 Acres of Secluded Land for Sale in Lafayette County, MS - Just Minutes from Oxford! &#127806; Tucked away in the quiet countryside of Lafayette County, Mississippi, this 79.5-acre tract offers privacy, potential, and good hunting. Located just 17 miles from Oxford and 32 miles from Tupelo, this property is ideal for your next recreational retreat, timber investment, or future off grid cabin. Property Highlights: &#127794; 79.5 Acres of Fresh Cutover - A clean slate ready for repla",NA,NA,"79.5","","property_images/455424098_img1.jpg","https://www.zillow.com/homedetails/1-County-Road-433-Thaxton-MS-38871/455424098_zpid/",2025-11-21 08:31:38.071338
"450108470","$934,000","1005 Belle Terre Ln, Oxford, MS 38655","5","5","3,736",250,"Single Family","For Sale",34.401882,-89.42543,"MS","Oxford",NA,"161544","3","*NEW CONSTRUCTION* Introducing The Madison at Belle Terre, where luxury meets custom craftsmanship. Designed by Shapiro & Co Architects, this 5 bed, 4.5 bath home offers generous space for family living and effortless entertaining. High-end finishes blend Southern charm with modern elegance in a serene countryside setting. Located in the Oxford School District, Belle Terre is a new community of 53 estate-sized lots and timeless design just minutes from Oxford's vibrant amenities. Secure now to s",NA,"2025","20251","","property_images/450108470_img1.jpg","https://www.zillow.com/homedetails/1005-Belle-Terre-Ln-Oxford-MS-38655/450108470_zpid/",2025-11-21 08:31:38.071338
"449617375","$49,900","201 Stable Run LOT 45, Oxford, MS 38655",NA,NA,NA,NA,NA,"For Sale",34.35299,-89.70234,"MS","Oxford",NA,"160421","Carport","Your dream home awaits you at Steeplechase on this gorgeous lot! Be part of the improvements and excitement at this prestigious, gated neighborhood, conveniently located between Oxford and Batesville. Call today for more info!",NA,NA,"1.75","","property_images/449617375_img1.jpg","https://www.zillow.com/homedetails/201-Stable-Run-LOT-45-Oxford-MS-38655/449617375_zpid/",2025-11-21 08:31:38.071338
"450108413","$934,000","(Undisclosed Address), Oxford, MS 38655","5","5","3,736",250,"Single Family","For Sale",NA,NA,"MS","Oxford",NA,"160497","3","*NEW CONSTRUCTION* Introducing The Madison at Belle Terre, where luxury meets custom craftsmanship. Designed by Shapiro & Co Architects, this 5 bed, 4.5 bath home offers generous space for family living and effortless entertaining. High-end finishes blend Southern charm with modern elegance in a serene countryside setting. Located in the Oxford School District, Belle Terre is a new community of 53 estate-sized lots and timeless design just minutes from Oxford's vibrant amenities. Secure now to s",NA,"2005","20051","","property_images/450108413_img1.jpg","https://www.zillow.com/homedetails/Oxford-MS-38655/450108413_zpid/",2025-11-21 08:31:38.071338
